name,varlab
date,calendar date
loc_grand_name,country
provincestate,province or state
update_date20220915,update date
DayDeaMeRaDELP20220915,Daily deaths mean raw DELP
DayDeaMeSmDELP20220915,Daily deaths mean smooth DELP
DayDeaMeFoDELP20220915,Daily deaths mean smooth forecast only DELP
update_date20200417,update date
DayDeaMeRaDELP20200417,Daily deaths mean raw DELP
DayDeaMeSmDELP20200417,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200417,Daily deaths mean smooth forecast only DELP
update_date20200424,update date
DayDeaMeRaDELP20200424,Daily deaths mean raw DELP
DayDeaMeSmDELP20200424,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200424,Daily deaths mean smooth forecast only DELP
update_date20200501,update date
DayDeaMeRaDELP20200501,Daily deaths mean raw DELP
DayDeaMeSmDELP20200501,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200501,Daily deaths mean smooth forecast only DELP
update_date20200509,update date
DayDeaMeRaDELP20200509,Daily deaths mean raw DELP
DayDeaMeSmDELP20200509,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200509,Daily deaths mean smooth forecast only DELP
update_date20200517,update date
DayDeaMeRaDELP20200517,Daily deaths mean raw DELP
DayDeaMeSmDELP20200517,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200517,Daily deaths mean smooth forecast only DELP
update_date20200524,update date
DayDeaMeRaDELP20200524,Daily deaths mean raw DELP
DayDeaMeSmDELP20200524,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200524,Daily deaths mean smooth forecast only DELP
update_date20200531,update date
DayDeaMeRaDELP20200531,Daily deaths mean raw DELP
DayDeaMeSmDELP20200531,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200531,Daily deaths mean smooth forecast only DELP
update_date20200607,update date
DayDeaMeRaDELP20200607,Daily deaths mean raw DELP
DayDeaMeSmDELP20200607,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200607,Daily deaths mean smooth forecast only DELP
update_date20200614,update date
DayDeaMeRaDELP20200614,Daily deaths mean raw DELP
DayDeaMeSmDELP20200614,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200614,Daily deaths mean smooth forecast only DELP
update_date20200621,update date
DayDeaMeRaDELP20200621,Daily deaths mean raw DELP
DayDeaMeSmDELP20200621,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200621,Daily deaths mean smooth forecast only DELP
update_date20200628,update date
DayDeaMeRaDELP20200628,Daily deaths mean raw DELP
DayDeaMeSmDELP20200628,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200628,Daily deaths mean smooth forecast only DELP
update_date20200704,update date
DayDeaMeRaDELP20200704,Daily deaths mean raw DELP
DayDeaMeSmDELP20200704,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200704,Daily deaths mean smooth forecast only DELP
update_date20200718,update date
DayDeaMeRaDELP20200718,Daily deaths mean raw DELP
DayDeaMeSmDELP20200718,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200718,Daily deaths mean smooth forecast only DELP
update_date20200723,update date
DayDeaMeRaDELP20200723,Daily deaths mean raw DELP
DayDeaMeSmDELP20200723,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200723,Daily deaths mean smooth forecast only DELP
update_date20200801,update date
DayDeaMeRaDELP20200801,Daily deaths mean raw DELP
DayDeaMeSmDELP20200801,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200801,Daily deaths mean smooth forecast only DELP
update_date20200815,update date
DayDeaMeRaDELP20200815,Daily deaths mean raw DELP
DayDeaMeSmDELP20200815,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200815,Daily deaths mean smooth forecast only DELP
update_date20200829,update date
DayDeaMeRaDELP20200829,Daily deaths mean raw DELP
DayDeaMeSmDELP20200829,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200829,Daily deaths mean smooth forecast only DELP
update_date20200912,update date
DayDeaMeRaDELP20200912,Daily deaths mean raw DELP
DayDeaMeSmDELP20200912,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200912,Daily deaths mean smooth forecast only DELP
update_date20200926,update date
DayDeaMeRaDELP20200926,Daily deaths mean raw DELP
DayDeaMeSmDELP20200926,Daily deaths mean smooth DELP
DayDeaMeFoDELP20200926,Daily deaths mean smooth forecast only DELP
update_date20201008,update date
DayDeaMeRaDELP20201008,Daily deaths mean raw DELP
DayDeaMeSmDELP20201008,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201008,Daily deaths mean smooth forecast only DELP
update_date20201022,update date
DayDeaMeRaDELP20201022,Daily deaths mean raw DELP
DayDeaMeSmDELP20201022,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201022,Daily deaths mean smooth forecast only DELP
update_date20201105,update date
DayDeaMeRaDELP20201105,Daily deaths mean raw DELP
DayDeaMeSmDELP20201105,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201105,Daily deaths mean smooth forecast only DELP
update_date20201119,update date
DayDeaMeRaDELP20201119,Daily deaths mean raw DELP
DayDeaMeSmDELP20201119,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201119,Daily deaths mean smooth forecast only DELP
update_date20201203,update date
DayDeaMeRaDELP20201203,Daily deaths mean raw DELP
DayDeaMeSmDELP20201203,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201203,Daily deaths mean smooth forecast only DELP
update_date20201217,update date
DayDeaMeRaDELP20201217,Daily deaths mean raw DELP
DayDeaMeSmDELP20201217,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201217,Daily deaths mean smooth forecast only DELP
update_date20201231,update date
DayDeaMeRaDELP20201231,Daily deaths mean raw DELP
DayDeaMeSmDELP20201231,Daily deaths mean smooth DELP
DayDeaMeFoDELP20201231,Daily deaths mean smooth forecast only DELP
update_date20210114,update date
DayDeaMeRaDELP20210114,Daily deaths mean raw DELP
DayDeaMeSmDELP20210114,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210114,Daily deaths mean smooth forecast only DELP
update_date20210128,update date
DayDeaMeRaDELP20210128,Daily deaths mean raw DELP
DayDeaMeSmDELP20210128,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210128,Daily deaths mean smooth forecast only DELP
update_date20210211,update date
DayDeaMeRaDELP20210211,Daily deaths mean raw DELP
DayDeaMeSmDELP20210211,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210211,Daily deaths mean smooth forecast only DELP
update_date20210225,update date
DayDeaMeRaDELP20210225,Daily deaths mean raw DELP
DayDeaMeSmDELP20210225,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210225,Daily deaths mean smooth forecast only DELP
update_date20210311,update date
DayDeaMeRaDELP20210311,Daily deaths mean raw DELP
DayDeaMeSmDELP20210311,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210311,Daily deaths mean smooth forecast only DELP
update_date20210325,update date
DayDeaMeRaDELP20210325,Daily deaths mean raw DELP
DayDeaMeSmDELP20210325,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210325,Daily deaths mean smooth forecast only DELP
update_date20210408,update date
DayDeaMeRaDELP20210408,Daily deaths mean raw DELP
DayDeaMeSmDELP20210408,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210408,Daily deaths mean smooth forecast only DELP
update_date20210422,update date
DayDeaMeRaDELP20210422,Daily deaths mean raw DELP
DayDeaMeSmDELP20210422,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210422,Daily deaths mean smooth forecast only DELP
update_date20210506,update date
DayDeaMeRaDELP20210506,Daily deaths mean raw DELP
DayDeaMeSmDELP20210506,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210506,Daily deaths mean smooth forecast only DELP
update_date20210520,update date
DayDeaMeRaDELP20210520,Daily deaths mean raw DELP
DayDeaMeSmDELP20210520,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210520,Daily deaths mean smooth forecast only DELP
update_date20210603,update date
DayDeaMeRaDELP20210603,Daily deaths mean raw DELP
DayDeaMeSmDELP20210603,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210603,Daily deaths mean smooth forecast only DELP
update_date20210610,update date
DayDeaMeRaDELP20210610,Daily deaths mean raw DELP
DayDeaMeSmDELP20210610,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210610,Daily deaths mean smooth forecast only DELP
update_date20210617,update date
DayDeaMeRaDELP20210617,Daily deaths mean raw DELP
DayDeaMeSmDELP20210617,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210617,Daily deaths mean smooth forecast only DELP
update_date20210624,update date
DayDeaMeRaDELP20210624,Daily deaths mean raw DELP
DayDeaMeSmDELP20210624,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210624,Daily deaths mean smooth forecast only DELP
update_date20210701,update date
DayDeaMeRaDELP20210701,Daily deaths mean raw DELP
DayDeaMeSmDELP20210701,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210701,Daily deaths mean smooth forecast only DELP
update_date20210708,update date
DayDeaMeRaDELP20210708,Daily deaths mean raw DELP
DayDeaMeSmDELP20210708,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210708,Daily deaths mean smooth forecast only DELP
update_date20210715,update date
DayDeaMeRaDELP20210715,Daily deaths mean raw DELP
DayDeaMeSmDELP20210715,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210715,Daily deaths mean smooth forecast only DELP
update_date20210722,update date
DayDeaMeRaDELP20210722,Daily deaths mean raw DELP
DayDeaMeSmDELP20210722,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210722,Daily deaths mean smooth forecast only DELP
update_date20210729,update date
DayDeaMeRaDELP20210729,Daily deaths mean raw DELP
DayDeaMeSmDELP20210729,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210729,Daily deaths mean smooth forecast only DELP
update_date20210805,update date
DayDeaMeRaDELP20210805,Daily deaths mean raw DELP
DayDeaMeSmDELP20210805,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210805,Daily deaths mean smooth forecast only DELP
update_date20210812,update date
DayDeaMeRaDELP20210812,Daily deaths mean raw DELP
DayDeaMeSmDELP20210812,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210812,Daily deaths mean smooth forecast only DELP
update_date20210819,update date
DayDeaMeRaDELP20210819,Daily deaths mean raw DELP
DayDeaMeSmDELP20210819,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210819,Daily deaths mean smooth forecast only DELP
update_date20210826,update date
DayDeaMeRaDELP20210826,Daily deaths mean raw DELP
DayDeaMeSmDELP20210826,Daily deaths mean smooth DELP
DayDeaMeFoDELP20210826,Daily deaths mean smooth forecast only DELP
update_date20210902,update date
