name,varlab
date,calendar date
loc_grand_name,country
DayDeaMeSmIHME20221216,Daily deaths mean smoothed IHME
seir_cumulative_unscaled_mean,IHME Cumulative reported deaths mean estimate
DayDeaMeRaIHME20221216,Daily deaths mean raw IHME
DayDeaMeFoIHME20221216,Daily deaths mean smooth forecast only IHME
update_date20221216,update date
epoch20221216,epoch IHME
DayDeaMeRaIHME20200625,Daily deaths mean raw IHME
DayDeaMeSmIHME20200625,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200625,Daily deaths mean smooth forecast only IHME
update_date20200625,update date
epoch20200625,epoch IHME
DayDeaMeRaIHME20200629,Daily deaths mean raw IHME
DayDeaMeSmIHME20200629,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200629,Daily deaths mean smooth forecast only IHME
update_date20200629,update date
epoch20200629,epoch IHME
DayDeaMeRaIHME20200707,Daily deaths mean raw IHME
DayDeaMeSmIHME20200707,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200707,Daily deaths mean smooth forecast only IHME
update_date20200707,update date
epoch20200707,epoch IHME
DayDeaMeRaIHME20200714,Daily deaths mean raw IHME
DayDeaMeSmIHME20200714,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200714,Daily deaths mean smooth forecast only IHME
update_date20200714,update date
epoch20200714,epoch IHME
DayDeaMeRaIHME20200722,Daily deaths mean raw IHME
DayDeaMeSmIHME20200722,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200722,Daily deaths mean smooth forecast only IHME
update_date20200722,update date
epoch20200722,epoch IHME
location_id,location id IHME
DayDeaMeRaIHME20200730,Daily deaths mean raw IHME
DayDeaMeSmIHME20200730,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200730,Daily deaths mean smooth forecast only IHME
update_date20200730,update date
epoch20200730,epoch IHME
DayDeaMeRaIHME20200806,Daily deaths mean raw IHME
DayDeaMeSmIHME20200806,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200806,Daily deaths mean smooth forecast only IHME
update_date20200806,update date
epoch20200806,epoch IHME
DayDeaMeRaIHME20200821,Daily deaths mean raw IHME
DayDeaMeSmIHME20200821,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200821,Daily deaths mean smooth forecast only IHME
update_date20200821,update date
epoch20200821,epoch IHME
DayDeaMeRaIHME20200827,Daily deaths mean raw IHME
DayDeaMeSmIHME20200827,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200827,Daily deaths mean smooth forecast only IHME
update_date20200827,update date
epoch20200827,epoch IHME
DayDeaMeRaIHME20200903,Daily deaths mean raw IHME
DayDeaMeSmIHME20200903,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200903,Daily deaths mean smooth forecast only IHME
update_date20200903,update date
epoch20200903,epoch IHME
DayDeaMeRaIHME20200911,Daily deaths mean raw IHME
DayDeaMeSmIHME20200911,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200911,Daily deaths mean smooth forecast only IHME
update_date20200911,update date
epoch20200911,epoch IHME
DayDeaMeRaIHME20200918,Daily deaths mean raw IHME
DayDeaMeSmIHME20200918,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200918,Daily deaths mean smooth forecast only IHME
update_date20200918,update date
epoch20200918,epoch IHME
DayDeaMeRaIHME20200924,Daily deaths mean raw IHME
DayDeaMeSmIHME20200924,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20200924,Daily deaths mean smooth forecast only IHME
update_date20200924,update date
epoch20200924,epoch IHME
DayDeaMeRaIHME20201002,Daily deaths mean raw IHME
DayDeaMeSmIHME20201002,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201002,Daily deaths mean smooth forecast only IHME
update_date20201002,update date
epoch20201002,epoch IHME
DayDeaMeRaIHME20201009,Daily deaths mean raw IHME
DayDeaMeSmIHME20201009,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201009,Daily deaths mean smooth forecast only IHME
update_date20201009,update date
epoch20201009,epoch IHME
DayDeaMeRaIHME20201015,Daily deaths mean raw IHME
DayDeaMeSmIHME20201015,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201015,Daily deaths mean smooth forecast only IHME
update_date20201015,update date
epoch20201015,epoch IHME
DayDeaMeRaIHME20201022,Daily deaths mean raw IHME
DayDeaMeSmIHME20201022,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201022,Daily deaths mean smooth forecast only IHME
update_date20201022,update date
epoch20201022,epoch IHME
deaths_data_type,deaths data type IHME
DayDeaMeRaIHME20201029,Daily deaths mean raw IHME
DayDeaMeSmIHME20201029,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201029,Daily deaths mean smooth forecast only IHME
update_date20201029,update date
epoch20201029,epoch IHME
DayDeaMeRaIHME20201112,Daily deaths mean raw IHME
DayDeaMeSmIHME20201112,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201112,Daily deaths mean smooth forecast only IHME
update_date20201112,update date
epoch20201112,epoch IHME
DayDeaMeRaIHME20201119,Daily deaths mean raw IHME
DayDeaMeSmIHME20201119,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201119,Daily deaths mean smooth forecast only IHME
update_date20201119,update date
epoch20201119,epoch IHME
DayDeaMeRaIHME20201203,Daily deaths mean raw IHME
DayDeaMeSmIHME20201203,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201203,Daily deaths mean smooth forecast only IHME
update_date20201203,update date
epoch20201203,epoch IHME
DayDeaMeRaIHME20201210,Daily deaths mean raw IHME
DayDeaMeSmIHME20201210,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201210,Daily deaths mean smooth forecast only IHME
update_date20201210,update date
epoch20201210,epoch IHME
DayDeaMeRaIHME20201217,Daily deaths mean raw IHME
DayDeaMeSmIHME20201217,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201217,Daily deaths mean smooth forecast only IHME
update_date20201217,update date
epoch20201217,epoch IHME
DayDeaMeRaIHME20201223,Daily deaths mean raw IHME
DayDeaMeSmIHME20201223,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20201223,Daily deaths mean smooth forecast only IHME
update_date20201223,update date
epoch20201223,epoch IHME
DayDeaMeRaIHME20210115,Daily deaths mean raw IHME
DayDeaMeSmIHME20210115,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210115,Daily deaths mean smooth forecast only IHME
update_date20210115,update date
epoch20210115,epoch IHME
DayDeaMeRaIHME20210122,Daily deaths mean raw IHME
DayDeaMeSmIHME20210122,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210122,Daily deaths mean smooth forecast only IHME
update_date20210122,update date
epoch20210122,epoch IHME
DayDeaMeRaIHME20210128,Daily deaths mean raw IHME
DayDeaMeSmIHME20210128,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210128,Daily deaths mean smooth forecast only IHME
update_date20210128,update date
epoch20210128,epoch IHME
DayDeaMeRaIHME20210204,Daily deaths mean raw IHME
DayDeaMeSmIHME20210204,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210204,Daily deaths mean smooth forecast only IHME
update_date20210204,update date
epoch20210204,epoch IHME
DayDeaMeRaIHME20210212,Daily deaths mean raw IHME
DayDeaMeSmIHME20210212,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210212,Daily deaths mean smooth forecast only IHME
update_date20210212,update date
epoch20210212,epoch IHME
DayDeaMeRaIHME20210220,Daily deaths mean raw IHME
DayDeaMeSmIHME20210220,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210220,Daily deaths mean smooth forecast only IHME
update_date20210220,update date
epoch20210220,epoch IHME
DayDeaMeRaIHME20210225,Daily deaths mean raw IHME
DayDeaMeSmIHME20210225,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210225,Daily deaths mean smooth forecast only IHME
update_date20210225,update date
epoch20210225,epoch IHME
DayDeaMeRaIHME20210306,Daily deaths mean raw IHME
DayDeaMeSmIHME20210306,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210306,Daily deaths mean smooth forecast only IHME
update_date20210306,update date
epoch20210306,epoch IHME
DayDeaMeRaIHME20210311,Daily deaths mean raw IHME
DayDeaMeSmIHME20210311,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210311,Daily deaths mean smooth forecast only IHME
update_date20210311,update date
epoch20210311,epoch IHME
DayDeaMeRaIHME20210317,Daily deaths mean raw IHME
DayDeaMeSmIHME20210317,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210317,Daily deaths mean smooth forecast only IHME
update_date20210317,update date
epoch20210317,epoch IHME
DayDeaMeRaIHME20210325,Daily deaths mean raw IHME
DayDeaMeSmIHME20210325,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210325,Daily deaths mean smooth forecast only IHME
update_date20210325,update date
epoch20210325,epoch IHME
DayDeaMeRaIHME20210401,Daily deaths mean raw IHME
DayDeaMeSmIHME20210401,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210401,Daily deaths mean smooth forecast only IHME
update_date20210401,update date
epoch20210401,epoch IHME
DayDeaMeRaIHME20210409,Daily deaths mean raw IHME
DayDeaMeSmIHME20210409,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210409,Daily deaths mean smooth forecast only IHME
update_date20210409,update date
epoch20210409,epoch IHME
DayDeaMeRaIHME20210416,Daily deaths mean raw IHME
DayDeaMeSmIHME20210416,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210416,Daily deaths mean smooth forecast only IHME
update_date20210416,update date
epoch20210416,epoch IHME
DayDeaMeRaIHME20210423,Daily deaths mean raw IHME
DayDeaMeSmIHME20210423,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210423,Daily deaths mean smooth forecast only IHME
update_date20210423,update date
epoch20210423,epoch IHME
DayDeaMeRaIHME20210506,Daily deaths mean raw IHME
DayDeaMeSmIHME20210506,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210506,Daily deaths mean smooth forecast only IHME
update_date20210506,update date
epoch20210506,epoch IHME
DayDeaMeRaIHME20210514,Daily deaths mean raw IHME
DayDeaMeSmIHME20210514,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210514,Daily deaths mean smooth forecast only IHME
update_date20210514,update date
epoch20210514,epoch IHME
DayDeaMeRaIHME20210521,Daily deaths mean raw IHME
DayDeaMeSmIHME20210521,Daily deaths mean smoothed IHME
DayDeaMeFoIHME20210521,Daily deaths mean smooth forecast only IHME
update_date20210521,update date
epoch20210521,epoch IHME
DayDeaMeRaIHME20210528,Daily deaths mean raw IHME
DayDeaMeSmIHME20210528,Daily deaths mean smoothed IHME
