name,varlab
loc_grand_name,country
date,calendar date
DayDeaMeRaIMPE20221225,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20221225,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20221225,Daily deaths mean smooth forecast only IMPE
update_date20221225,update date
DayDeaMeRaIMPE20200428,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200428,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200428,Daily deaths mean smooth forecast only IMPE
update_date20200428,update date
DayDeaMeRaIMPE20200429,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200429,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200429,Daily deaths mean smooth forecast only IMPE
update_date20200429,update date
DayDeaMeRaIMPE20200430,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200430,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200430,Daily deaths mean smooth forecast only IMPE
update_date20200430,update date
DayDeaMeRaIMPE20200501,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200501,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200501,Daily deaths mean smooth forecast only IMPE
update_date20200501,update date
DayDeaMeRaIMPE20200502,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200502,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200502,Daily deaths mean smooth forecast only IMPE
update_date20200502,update date
DayDeaMeRaIMPE20200503,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200503,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200503,Daily deaths mean smooth forecast only IMPE
update_date20200503,update date
DayDeaMeRaIMPE20200504,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200504,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200504,Daily deaths mean smooth forecast only IMPE
update_date20200504,update date
DayDeaMeRaIMPE20200505,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200505,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200505,Daily deaths mean smooth forecast only IMPE
update_date20200505,update date
DayDeaMeRaIMPE20200506,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200506,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200506,Daily deaths mean smooth forecast only IMPE
update_date20200506,update date
DayDeaMeRaIMPE20200507,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200507,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200507,Daily deaths mean smooth forecast only IMPE
update_date20200507,update date
DayDeaMeRaIMPE20200508,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200508,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200508,Daily deaths mean smooth forecast only IMPE
update_date20200508,update date
DayDeaMeRaIMPE20200509,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200509,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200509,Daily deaths mean smooth forecast only IMPE
update_date20200509,update date
DayDeaMeRaIMPE20200510,Daily deaths mean raw IMPE
DayDeaMeSmIMPE20200510,Daily deaths mean smooth IMPE
DayDeaMeFoIMPE20200510,Daily deaths mean smooth forecast only IMPE
update_date20200510,update date
DayDeaMeRaIMPE20200511,Daily deaths mean raw IMPE
