name,varlab
DayDeaMeRaLANL20210926,Daily deaths mean raw LANL
loc_grand_name,country
date,calendar date
DayDeaMeSmLANL20210926,Daily deaths mean smooth LANL
DayDeaMeFoLANL20210926,Daily deaths mean smooth forecast only LANL
update_date20210926,update date
DayDeaMeRaLANL20200426,Daily deaths mean raw LANL
DayDeaMeSmLANL20200426,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200426,Daily deaths mean smooth forecast only LANL
update_date20200426,update date
DayDeaMeRaLANL20200429,Daily deaths mean raw LANL
DayDeaMeSmLANL20200429,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200429,Daily deaths mean smooth forecast only LANL
update_date20200429,update date
DayDeaMeRaLANL20200503,Daily deaths mean raw LANL
DayDeaMeSmLANL20200503,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200503,Daily deaths mean smooth forecast only LANL
update_date20200503,update date
DayDeaMeRaLANL20200506,Daily deaths mean raw LANL
DayDeaMeSmLANL20200506,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200506,Daily deaths mean smooth forecast only LANL
update_date20200506,update date
DayDeaMeRaLANL20200510,Daily deaths mean raw LANL
DayDeaMeSmLANL20200510,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200510,Daily deaths mean smooth forecast only LANL
update_date20200510,update date
DayDeaMeRaLANL20200513,Daily deaths mean raw LANL
DayDeaMeSmLANL20200513,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200513,Daily deaths mean smooth forecast only LANL
update_date20200513,update date
DayDeaMeRaLANL20200517,Daily deaths mean raw LANL
DayDeaMeSmLANL20200517,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200517,Daily deaths mean smooth forecast only LANL
update_date20200517,update date
DayDeaMeRaLANL20200520,Daily deaths mean raw LANL
DayDeaMeSmLANL20200520,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200520,Daily deaths mean smooth forecast only LANL
update_date20200520,update date
DayDeaMeRaLANL20200524,Daily deaths mean raw LANL
DayDeaMeSmLANL20200524,Daily deaths mean smooth LANL
DayDeaMeFoLANL20200524,Daily deaths mean smooth forecast only LANL
update_date20200524,update date
DayDeaMeRaLANL20200527,Daily deaths mean raw LANL
DayDeaMeSmLANL20200527,Daily deaths mean smooth LANL
