name,varlab
DDAbPeErLANL20210926_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210919_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210912_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210905_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210829_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210822_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210815_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210808_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210801_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210725_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210718_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210711_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210704_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210627_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210620_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210613_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210606_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210602_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210526_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210523_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210519_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210516_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210512_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210509_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210505_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210502_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210428_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210425_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210421_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210418_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210414_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210411_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210407_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210404_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210331_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210328_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210324_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210321_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210314_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210310_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210307_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210303_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210228_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210224_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210221_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210217_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210214_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210210_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210207_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210203_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210131_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210127_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210124_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210120_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210117_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210113_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210110_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210105_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20210103_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201223_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201220_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201216_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201213_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201209_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201206_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201202_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201129_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201125_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201122_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201118_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201115_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201111_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201108_Med1,DayDeaLANL median absolute % error by calendar months and updates
DDAbPeErLANL20201104_Med1,DayDeaLANL median absolute % error by calendar months and updates
